Antibiotic	VME_Acc	VME_Conf_low	VME_Conf_high	ME_Acc	ME_Conf_low	ME_Conf_high	Res_Count	Sus_Count
MEM	0.09117620614626602	0.06907068709617105	0.113281725196361	0.047757292239955965	0.039719424689639245	0.055795159790272685	1667	2764
MET	0.01206896551724138	-0.00013547221536443568	0.024273403249847194	0.02477017364657814	0.009501131980144384	0.0400392153130119	580	444
MXF	0.16072874493927128	0.132850275684084	0.18860721419445856	0.06658622908622909	0.04070296294369919	0.092469495228759	193	556
NAL	0.16619718309859155	0.10146712096657094	0.23092724523061214	0.06281119189248732	0.04020552942868305	0.0854168543562916	355	1783
NAM	0.175	-0.001964347122784371	0.35196434712278435	0.24444444444444446	0.05372945812142979	0.4351594307674591	41	42
NIT	0.08176798661461239	0.05596937393940371	0.10756659928982107	0.2683712121212121	0.2359177783190027	0.30082464592342156	820	164
NOR	0.1514285714285714	0.026392392950767618	0.2764647499063752	0.042105263157894736	0.012879525208444223	0.07133100110734525	73	95
OFX	0.24183627317955675	0.17586003673846576	0.30781250962064777	0.16690647482014387	0.09934683848328231	0.23446611115700544	331	695
OXA	0.1108695652173913	0.040194277586205945	0.18154485284857666	0.09824561403508772	0.030052225486369863	0.16643900258380556	117	285
PAS	0.37272727272727274	0.2113070062067508	0.5341475392477947	0.1284175084175084	0.057527061966780285	0.19930795486823652	51	273
PEN	0.05277692752440229	0.031478010981123766	0.07407584406768081	0.11682569674067075	0.08614278371150431	0.14750860976983718	1213	728
PZA	0.16577540106951874	0.13001836756463722	0.20153243457440026	0.08756497623925191	0.0759945052391022	0.09913544723940163	935	5356
RIF	0.13376932367149758	0.10666177871793808	0.16087686862505707	0.03660895527093219	0.03287054036326526	0.04034737017859912	2878	8659
SAM	0.03804332715477294	0.02692915516570026	0.04915749914384562	0.10909956215495908	0.07486161556182747	0.1433375087480907	2077	513
SPT	0.048275862068965524	-0.01665781683960143	0.11320954097753247	0.11298701298701297	0.044245769600164325	0.1817282563738616	145	107
STR	0.1616216216216216	0.13082816721799018	0.19241507602525304	0.07804373594931535	0.06416514593204171	0.09192232596658899	1850	3498
SXT	0.06237515828632514	0.060072085496086475	0.0646782310765638	0.08004021912488732	0.0664656534835281	0.09361478476624653	5980	3798
TEL	0.04444444444444444	-0.03112082007313967	0.12000970896202855	0.06818181818181819	0.036532863846692076	0.0998307725169443	44	161
TET	0.08406314182555903	0.07512858384045586	0.09299769981066221	0.0980847951491701	0.08841195302355744	0.10775763727478276	4461	4119
TGC	0.07863247863247864	0.059648238596938144	0.09761671866801915	0.13975903614457832	0.1278536860840698	0.15166438620508685	585	1245
TIM	0.05714285714285714	-0.10151114886844564	0.2157968631541599	0.016666666666666666	-0.029607418419963314	0.06294075175329665	37	118
TIO	0.045	0.01902873415791076	0.07097126584208924	0.02249439365188891	0.012676939417910343	0.032311847885867474	200	933
TMO	0.0	0.0	0.0	0.016666666666666666	-0.01167030752742737	0.0450036408607607	50	119
TMP	0.21711621711621715	0.1644351165229922	0.2697973177094421	0.11447938026885396	0.08377144958991217	0.14518731094779574	387	664
TOB	0.07208869841637548	0.06054717555562519	0.08363022127712577	0.08574224992010228	0.06674635598325762	0.10473814385694694	2788	2239
TZP	0.14177785791561487	0.10888604010600814	0.1746696757252216	0.06959316903131116	0.056603295287271586	0.08258304277535072	1178	2558
VAN	0.06779272234386405	0.0483859491379014	0.0871994955498267	0.08354443967367968	0.056702579671617986	0.11038629967574137	693	682
all	0.0815708994430936	0.0799696173754132	0.08317218151077402	0.06614980119445431	0.06313337349359423	0.06916622889531439	81328	113545
